title,raw_title,author,avg_rating,ratings_count,cover_url,details_url,source
Thinking in Java,Thinking in Java,Bruce Eckel,4.15,2215,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347737121i/71672._SX50_.jpg,https://www.goodreads.com/book/show/71672.Thinking_in_Java,goodreads_scraped
The Elements Of Computing Systems: Building A Modern Computer From First Principles,The Elements Of Computing Systems: Building A Modern Computer From First Principles,Noam Nisan,4.55,978,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387737217i/910789._SX50_.jpg,https://www.goodreads.com/book/show/910789.The_Elements_Of_Computing_Systems,goodreads_scraped
Refactoring to Patterns,Refactoring to Patterns,Joshua Kerievsky,4.05,1439,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347966206i/85041._SX50_.jpg,https://www.goodreads.com/book/show/85041.Refactoring_to_Patterns,goodreads_scraped
Modern Operating Systems,Modern Operating Systems,Andrew S. Tanenbaum,4.14,2219,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387702085i/166195._SX50_.jpg,https://www.goodreads.com/book/show/166195.Modern_Operating_Systems,goodreads_scraped
The Annotated Turing: A Guided Tour Through Alan Turing's Historic Paper on Computability and the Turing Machine,The Annotated Turing: A Guided Tour Through Alan Turing's Historic Paper on Computability and the Turing Machine,Charles Petzold,4.28,1189,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348963714i/2333956._SX50_.jpg,https://www.goodreads.com/book/show/2333956.The_Annotated_Turing,goodreads_scraped
Things That Make Us Smart: Defending Human Attributes in the Age of the Machine,Things That Make Us Smart: Defending Human Attributes in the Age of the Machine (William Patrick Book),Donald A. Norman,3.88,422,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388370807i/16868._SY75_.jpg,https://www.goodreads.com/book/show/16868.Things_That_Make_Us_Smart,goodreads_scraped
The Timeless Way of Building,The Timeless Way of Building,Christopher W. Alexander,4.37,2710,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348093712i/106728._SY75_.jpg,https://www.goodreads.com/book/show/106728.The_Timeless_Way_of_Building,goodreads_scraped
The Deadline,The Deadline,Tom DeMarco,4.15,2563,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356474444i/123716._SY75_.jpg,https://www.goodreads.com/book/show/123716.The_Deadline,goodreads_scraped
Computer Systems: A Programmer's Perspective,Computer Systems: A Programmer's Perspective,Randal E. Bryant,4.47,1159,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387708094i/829182._SX50_.jpg,https://www.goodreads.com/book/show/829182.Computer_Systems,goodreads_scraped
"Agile Principles, Patterns, and Practices in C#","Agile Principles, Patterns, and Practices in C# (Robert C. Martin Series)",Robert C. Martin,4.28,775,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348657323i/84983._SX50_.jpg,https://www.goodreads.com/book/show/84983.Agile_Principles_Patterns_and_Practices_in_C_,goodreads_scraped
